,RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
281,281.0,276.0,University of Strathclyde,United Kingdom,Europe,L,CO,VH,A,25.9,343,30.0,314,16.7,701,31.8,416,93.0,170.0,64.0,235.0,85.0,246.0,33.6,376,88.6,107.0,37.9
282,283.0,328.0,Université Paris 1 Panthéon-Sorbonne ,France,Europe,XL,FO,VH,A,65.6,104,33.3,280,4.6,701,2.9,701,34.3,467.0,46.5,317.0,70.3,481.0,74.8,140,23.7,500.0,37.5
283,284.0,301.0,Southern University of Science and Technology,China (Mainland),Asia,M,FO,VH,A,9.3,601,2.5,601,89.7,85,98.8,29,37.5,430.0,1.4,701.0,48.3,701.0,1.6,701,31.6,432.0,37.3
284,285.0,336.0,Middle East Technical University,Turkey,Asia,L,CO,VH,A,31.2,286,70.2,101,9.0,701,22.3,528,12.0,701.0,18.3,576.0,74.7,412.0,77.5,130,69.5,223.0,37.2
285,285.0,319.0,Universidad Carlos III de Madrid (UC3M),Spain,Europe,L,FO,VH,A,33.5,260,56.3,147,49.5,316,4.1,701,64.8,302.0,52.3,279.0,66.3,534.0,20.7,551,68.3,227.0,37.2
286,285.0,268.0,University of Cologne,Germany,Europe,L,FO,VH,A,35.2,250,30.4,310,15.7,701,29.3,440,35.9,444.0,30.1,429.0,90.8,158.0,56.8,212,91.9,78.0,37.2
287,285.0,272.0,University of Leicester,United Kingdom,Europe,L,FC,VH,A,19.8,453,13.7,594,30.8,511,43.4,316,80.0,238.0,95.3,95.0,88.8,187.0,22.7,504,75.0,186.0,37.2
288,285.0,276.0,University of Milan,Italy,Europe,XL,FC,VH,A,52.8,152,17.0,505,6.4,701,39.6,356,6.5,701.0,6.8,701.0,85.5,239.0,44.1,290,74.8,190.0,37.2
289,285.0,244.0,University of Surrey,United Kingdom,Europe,L,CO,VH,A,19.7,454,17.9,490,22.8,625,55.2,227,97.1,129.0,87.1,139.0,86.4,226.0,20.4,557,28.4,456.0,37.2
290,291.0,285.0,Swinburne University of Technology,Australia,Oceania,L,CO,VH,A,13.9,601,11.4,601,12.4,701,86.5,88,94.9,150.0,77.3,183.0,66.1,538.0,13.9,696,15.4,585.0,37.1
291,291.0,281.0,University of Bergen,Norway,Europe,L,FC,VH,A,31.6,280,8.3,601,64.9,205,28.3,460,93.3,167.0,16.9,589.0,90.7,160.0,63.9,184,33.6,416.0,37.1
292,293.0,285.0,The University of Arizona,United States,Americas,XL,FC,VH,A,37.3,231,22.2,420,44.4,349,38.8,360,31.6,486.0,15.1,620.0,94.1,98.0,37.1,344,40.4,363.0,37.0
293,293.0,307.0,University of Tasmania,Australia,Oceania,M,CO,VH,A,16.0,552,7.4,601,22.1,635,59.8,203,79.9,240.0,89.7,123.0,80.0,323.0,15.9,636,85.6,123.0,37.0
294,295.0,291.0,Xi’an Jiaotong University,China (Mainland),Asia,XL,FC,VH,A,19.0,474,39.4,238,14.0,701,89.5,77,3.9,701.0,3.8,701.0,80.5,315.0,26.4,448,18.2,553.0,36.9
295,296.0,283.0,Stellenbosch University,South Africa,Africa,L,FC,VH,A,26.1,342,35.8,262,3.5,701,61.9,190,19.7,605.0,8.0,701.0,94.8,80.0,85.2,101,22.0,516.0,36.7
296,297.0,260.0,University of Virginia,United States,Americas,L,FC,VH,A,37.3,230,27.3,353,55.8,267,29.1,446,6.1,701.0,11.3,690.0,81.6,295.0,77.9,129,35.4,400.0,36.6
297,298.0,319.0,Bauman Moscow State Technical University,Russia,Europe,L,CO,VH,A,36.2,242,51.9,169,99.9,22,1.4,701,65.6,298.0,70.0,210.0,15.2,701.0,7.7,701,6.8,701.0,36.5
298,298.0,307.0,Swansea University,United Kingdom,Europe,L,FC,VH,A,23.1,387,43.1,214,25.1,591,27.9,467,71.0,278.0,59.6,249.0,82.3,286.0,8.3,701,91.8,80.0,36.5
299,300.0,275.0,Huazhong University of Science and Technology,China (Mainland),Asia,XL,FC,VH,A,20.4,431,28.2,337,7.9,701,99.9,10,5.2,701.0,2.7,701.0,79.4,335.0,17.6,606,15.0,592.0,36.4
300,301.0,297.0,Georgetown University,United States,Americas,L,FC,VH,B,29.3,302,41.9,224,63.0,218,14.0,655,28.0,506.0,37.3,377.0,62.5,597.0,90.9,71,37.0,391.0,36.3
301,302.0,340.0,Beijing Institute of Technology,China (Mainland),Asia,XL,FO,VH,A,23.2,384,24.3,396,43.4,361,82.0,103,5.7,701.0,6.7,701.0,68.6,505.0,14.3,681,10.1,661.0,35.9
302,302.0,236.0,Université Paris Cité,France,Europe,XL,FO,VH,A,27.8,319,6.2,601,9.2,701,87.0,87,12.0,701.0,35.2,388.0,99.2,11.0,15.2,655,18.4,549.0,35.9
303,304.0,268.0,Linköping University,Sweden,Europe,L,CO,VH,A,18.5,489,26.6,360,37.9,420,45.4,304,81.9,231.0,32.6,409.0,84.6,253.0,42.4,305,41.0,360.0,35.8
304,304.0,371.0,Universidade Federal do Rio de Janeiro,Brazil,Americas,XL,FC,VH,A,61.9,112,23.3,407,13.7,701,7.8,701,7.6,701.0,1.5,701.0,79.7,330.0,81.4,117,59.6,269.0,35.8
305,306.0,336.0,Aalborg University,Denmark,Europe,L,FC,VH,A,19.9,450,20.8,439,25.5,580,53.2,241,77.3,250.0,14.9,627.0,92.1,134.0,23.3,486,75.6,183.0,35.7
306,307.0,268.0,"University of California, Irvine",United States,Americas,XL,FC,VH,A,37.5,229,22.3,419,17.3,701,40.7,344,43.9,401.0,58.7,252.0,84.1,260.0,11.2,701,36.0,397.0,35.5
307,308.0,345.0,Airlangga University,Indonesia,Asia,XL,FC,HI,A,37.1,232,79.1,80,57.0,259,1.5,701,58.0,330.0,6.7,701.0,40.3,701.0,18.9,585,16.3,570.0,35.3
308,309.0,302.0,Goethe-University Frankfurt am Main,Germany,Europe,XL,FC,VH,A,43.2,196,33.2,282,24.4,600,15.9,621,37.4,432.0,24.1,489.0,90.4,166.0,20.2,560,75.0,186.0,35.2
309,309.0,362.0,Universität Innsbruck,Austria,Europe,L,FC,HI,A,20.3,434,7.8,601,73.1,177,9.3,701,100.0,68.0,100.0,27.0,71.5,461.0,55.8,223,61.6,263.0,35.2
310,311.0,274.0,North Carolina State University,United States,Americas,XL,CO,VH,A,26.7,330,25.4,374,9.8,701,63.4,181,55.0,338.0,17.0,585.0,78.1,358.0,21.5,532,35.7,398.0,35.1
311,312.0,304.0,Jagiellonian University,Poland,Europe,XL,FO,VH,A,37.8,228,46.4,199,65.1,203,5.5,701,5.7,701.0,15.4,615.0,88.6,188.0,51.3,249,35.4,400.0,35.0
312,312.0,306.0,University of Johannesburg,South Africa,Africa,L,CO,VH,A,17.7,513,17.9,491,40.3,388,24.9,499,96.5,134.0,51.4,285.0,98.0,26.0,63.1,190,65.6,238.0,35.0
313,314.0,312.0,Universität Stuttgart,Germany,Europe,L,FO,VH,A,23.1,386,33.0,286,6.8,701,55.2,228,36.0,442.0,46.8,314.0,70.4,479.0,21.7,527,65.3,239.0,34.9
314,315.0,315.0,Quaid-i-Azam University,Pakistan,Asia,M,CO,VH,A,17.3,520,42.4,218,3.2,701,93.6,58,7.0,701.0,1.9,701.0,65.0,557.0,21.0,546,3.4,701.0,34.8
315,316.0,342.0,RUDN University,Russia,Europe,L,FC,VH,A,24.4,357,48.7,186,92.0,79,2.1,701,8.0,701.0,92.2,107.0,89.7,170.0,10.0,701,24.0,498.0,34.7
316,316.0,360.0,Shandong University,China (Mainland),Asia,XL,FC,VH,A,16.6,538,35.5,268,16.7,701,88.2,81,8.2,701.0,3.1,701.0,64.1,572.0,20.7,553,19.7,537.0,34.7
317,316.0,304.0,University of Notre Dame,United States,Americas,L,CO,VH,B,25.8,344,25.2,379,60.8,237,29.2,444,22.3,566.0,18.4,575.0,70.1,484.0,60.2,201,68.9,225.0,34.7
318,319.0,318.0,Simon Fraser University,Canada,Americas,L,CO,VH,A,24.0,367,11.4,601,6.2,701,36.6,374,97.0,131.0,83.9,158.0,76.8,382.0,22.8,503,89.8,96.0,34.6
319,320.0,264.0,University of Colorado Boulder,United States,Americas,XL,CO,VH,A,36.1,244,17.5,495,38.3,414,34.9,385,32.2,482.0,4.9,701.0,86.3,228.0,31.6,400,62.8,252.0,34.4
320,321.0,355.0,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,Asia,L,FO,VH,A,34.4,256,62.0,130,92.6,76,1.4,701,68.7,289.0,8.2,701.0,22.8,701.0,5.5,701,10.5,655.0,34.2
321,321.0,347.0,National Technical University of Athens,Greece,Europe,L,FO,VH,A,21.3,412,44.9,204,4.6,701,76.0,132,1.3,701.0,4.6,701.0,72.7,444.0,39.6,325,5.0,701.0,34.2
322,321.0,349.0,Universidad Politécnica de Madrid (UPM),Spain,Europe,XL,SP,VH,A,31.3,283,56.5,146,16.7,701,11.4,701,3.2,701.0,32.1,414.0,81.1,308.0,60.7,199,86.3,119.0,34.2
323,324.0,278.0,University of Miami,United States,Americas,L,FC,VH,B,19.0,475,29.5,316,50.0,310,39.3,358,66.7,295.0,16.9,587.0,81.6,294.0,43.8,292,27.9,462.0,34.1
324,324.0,326.0,University of Southern Denmark (SDU),Denmark,Europe,L,CO,VH,A,20.2,440,15.9,538,22.3,631,49.3,270,85.5,217.0,24.1,491.0,81.1,309.0,21.3,540,73.2,198.0,34.1
325,326.0,307.0,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,Asia,S,FO,VH,A,10.5,601,11.8,601,84.1,113,99.9,12,6.6,701.0,3.3,701.0,12.3,701.0,2.7,701,3.1,701.0,34.0
326,326.0,404.0,Istanbul Technical University,Turkey,Asia,L,FO,VH,A,27.0,327,67.2,112,9.7,701,17.0,602,8.3,701.0,19.8,546.0,76.1,388.0,69.1,165,70.3,221.0,34.0
327,328.0,332.0,Kyung Hee University,South Korea,Asia,L,FC,VH,B,23.2,383,37.1,253,82.1,121,15.1,636,14.3,676.0,53.4,276.0,54.5,701.0,13.8,699,80.5,152.0,33.8
328,328.0,299.0,Rutgers University–New Brunswick,United States,Americas,XL,CO,VH,A,36.2,243,28.1,340,46.3,333,12.8,671,18.0,625.0,28.2,443.0,78.0,361.0,25.7,459,95.4,55.0,33.8
329,328.0,407.0,University of Delhi,India,Asia,L,FC,VH,A,38.1,225,35.3,269,4.3,701,25.9,488,1.3,701.0,1.5,701.0,75.1,406.0,96.0,44,70.6,220.0,33.8
330,331.0,323.0,Sun Yat-sen University,China (Mainland),Asia,XL,FC,VH,A,31.8,278,28.8,329,46.4,329,49.5,269,2.2,701.0,3.6,701.0,77.4,370.0,21.4,536,15.9,581.0,33.7
331,501.0,580.0,Abu Dhabi University,United Arab Emirates,Asia,S,FO,VH,C,15.9,556,24.6,390,14.9,701,16.7,610,100.0,5.0,99.8,38.0,27.3,701.0,8.3,701,1.5,701.0,24.1
332,332.0,295.0,University of East Anglia (UEA),United Kingdom,Europe,L,FC,VH,A,17.2,522,7.2,601,15.2,701,58.7,209,66.8,294.0,32.2,412.0,87.9,199.0,19.2,575,91.4,81.0,33.6
333,334.0,294.0,Université Grenoble Alpes,France,Europe,XL,FC,VH,A,44.7,190,14.3,574,7.9,701,41.7,330,20.2,594.0,35.1,389.0,94.9,78.0,20.7,552,21.5,518.0,33.5
334,335.0,369.0,Indian Institute of Technology Roorkee (IITR),India,Asia,M,FO,VH,A,19.4,462,29.0,325,6.8,701,93.8,55,1.3,701.0,2.0,701.0,44.3,701.0,6.4,701,37.9,386.0,33.4
335,336.0,380.0,Flinders University,Australia,Oceania,L,FC,VH,A,13.5,601,5.6,601,7.2,701,51.8,251,97.2,127.0,88.8,131.0,80.8,311.0,7.4,701,87.4,112.0,33.3
336,336.0,351.0,Lappeenranta-Lahti University of Technology LUT,Finland,Europe,M,SP,VH,A,6.4,601,9.4,601,9.5,701,97.6,41,56.8,334.0,28.5,440.0,55.6,682.0,7.9,701,55.8,284.0,33.3
337,336.0,355.0,Sichuan University,China (Mainland),Asia,XL,FC,VH,A,20.4,433,12.3,601,10.3,701,98.5,32,7.1,701.0,4.9,701.0,71.3,463.0,12.9,701,11.0,644.0,33.3
338,336.0,404.0,University of the Philippines,Philippines,Asia,XL,FC,HI,A,36.3,239,65.3,119,31.1,506,1.9,701,1.6,701.0,1.1,701.0,60.9,624.0,65.6,177,67.7,230.0,33.3
339,340.0,345.0,University of Saskatchewan,Canada,Americas,L,FC,VH,A,11.1,601,5.3,601,18.2,701,57.0,219,77.3,251.0,49.5,298.0,82.3,287.0,32.1,394,90.7,89.0,33.2
340,340.0,326.0,University of South Australia,Australia,Oceania,L,CO,VH,A,21.3,411,12.7,601,24.9,594,31.9,413,99.8,92.0,50.9,290.0,85.5,238.0,15.5,644,83.6,132.0,33.2
341,342.0,343.0,Brunel University London,United Kingdom,Europe,L,CO,VH,A,11.1,601,13.3,601,7.1,701,46.5,297,99.1,102.0,99.8,37.0,77.9,363.0,19.9,564,71.2,214.0,33.0
342,342.0,334.0,Sharif University of Technology,"Iran, Islamic Republic of",Asia,M,FO,VH,A,11.5,601,33.6,278,5.1,701,99.9,13,2.9,701.0,1.2,701.0,61.4,610.0,28.2,436,1.3,701.0,33.0
343,344.0,364.0,Indian Institute of Technology Guwahati (IITG),India,Asia,M,CO,VH,A,18.8,480,32.0,295,6.4,701,97.6,42,2.3,701.0,1.2,701.0,51.2,701.0,4.9,701,2.2,701.0,32.9
344,344.0,379.0,Tufts University,United States,Americas,L,FC,VH,B,16.9,533,7.7,601,53.5,285,45.7,303,23.5,554.0,38.1,369.0,60.2,632.0,56.1,220,81.0,151.0,32.9
345,344.0,313.0,University of Oulu,Finland,Europe,M,FC,VH,A,15.1,582,13.5,600,25.3,587,59.4,207,65.3,300.0,8.6,701.0,89.4,175.0,21.7,528,68.6,226.0,32.9
346,347.0,371.0,Tilburg University,Netherlands,Europe,L,SP,VH,A,14.7,594,32.5,291,10.5,701,55.1,229,98.4,114.0,60.6,245.0,56.8,667.0,14.3,685,15.2,590.0,32.8
347,347.0,335.0,University of Naples - Federico II,Italy,Europe,XL,FC,VH,A,36.6,236,19.7,461,4.2,701,65.1,172,2.2,701.0,1.1,701.0,92.5,129.0,7.3,701,20.1,530.0,32.8
348,349.0,322.0,University of Victoria (UVic),Canada,Americas,L,CO,VH,A,17.0,530,7.7,601,3.9,701,62.5,188,94.7,152.0,40.9,350.0,54.2,701.0,11.3,701,82.9,139.0,32.6
349,350.0,371.0,Cairo University,Egypt,Africa,XL,FC,VH,A,45.8,179,41.0,229,8.8,701,3.0,701,2.9,701.0,7.2,701.0,86.4,223.0,95.5,50,47.2,329.0,32.5
350,350.0,319.0,Sciences Po ,France,Europe,L,SP,VH,A,16.8,535,34.8,271,81.1,125,2.8,701,52.7,354.0,97.2,78.0,31.4,701.0,97.7,30,7.2,701.0,32.5
351,352.0,328.0,"City, University of London",United Kingdom,Europe,L,CO,VH,A,20.8,422,21.3,430,5.6,701,31.2,421,95.8,140.0,98.9,59.0,66.4,531.0,54.8,226,23.2,505.0,32.4
352,353.0,367.0,National University of Sciences And Technology (NUST) Islamabad,Pakistan,Asia,L,CO,VH,A,20.4,430,71.6,98,68.8,188,14.5,646,4.3,701.0,4.0,701.0,73.6,426.0,2.8,701,44.9,338.0,32.3
353,354.0,323.0,University of Pretoria,South Africa,Africa,XL,FC,VH,A,23.9,368,48.8,185,4.0,701,15.5,629,33.3,474.0,8.2,701.0,98.1,24.0,80.1,122,79.6,156.0,32.2
354,355.0,313.0,Indiana University Bloomington,United States,Americas,XL,FC,VH,A,33.4,261,23.6,403,23.3,618,29.1,445,36.3,438.0,10.8,701.0,86.6,221.0,56.8,213,32.7,424.0,32.1
355,355.0,351.0,University of Coimbra,Portugal,Europe,L,FC,VH,A,29.4,301,10.8,601,10.3,701,49.8,264,8.1,701.0,22.9,504.0,91.2,154.0,31.1,404,75.8,181.0,32.1
357,358.0,358.0,University of Tartu,Estonia,Europe,M,FC,VH,A,22.9,391,10.5,601,93.7,71,10.8,701,48.6,372.0,15.1,621.0,88.8,186.0,85.7,98,18.0,555.0,32.0
358,359.0,328.0,Gwangju Institute of Science and Technology (GIST),South Korea,Asia,S,FO,VH,A,13.8,601,9.0,601,38.6,409,100.0,4,18.6,619.0,8.8,701.0,27.0,701.0,2.2,701,9.9,667.0,31.9
359,359.0,336.0,Pontificia Universidad Católica del Perú,Peru,Americas,L,FO,VH,B,48.4,169,61.6,132,33.2,475,1.6,701,4.0,701.0,1.3,701.0,38.1,701.0,33.0,385,29.6,447.0,31.9
360,359.0,344.0,University of Aveiro,Portugal,Europe,L,CO,VH,A,13.9,601,5.6,601,11.1,701,90.6,73,4.2,701.0,15.3,617.0,89.0,183.0,2.7,701,57.7,276.0,31.9
361,362.0,454.0,Sultan Qaboos University,Oman,Asia,M,FC,VH,A,18.6,484,17.1,503,55.6,269,21.9,533,100.0,72.0,3.2,701.0,78.8,340.0,51.5,247,55.4,285.0,31.7
362,362.0,392.0,Xiamen University,China (Mainland),Asia,XL,FC,VH,A,23.6,372,16.2,526,19.0,701,72.2,146,5.1,701.0,3.1,701.0,62.6,594.0,46.0,277,15.4,585.0,31.7
363,362.0,353.0,York University,Canada,Americas,XL,CO,VH,A,22.7,394,18.6,476,3.9,701,22.6,524,53.1,353.0,78.7,176.0,65.5,548.0,76.3,136,86.5,118.0,31.7
364,365.0,315.0,Saint Petersburg State University,Russia,Europe,L,FC,VH,A,36.3,238,30.5,309,59.4,247,4.6,701,4.9,701.0,38.9,360.0,83.9,263.0,71.7,150,3.2,701.0,31.6
365,365.0,323.0,University of Illinois at Chicago (UIC),United States,Americas,L,FC,VH,A,38.5,223,28.3,336,31.1,505,23.3,518,8.0,701.0,19.3,560.0,83.8,265.0,30.5,414,34.8,406.0,31.6
366,367.0,384.0,Westfälische Wilhelms-Universität Münster ,Germany,Europe,L,FC,VH,A,31.6,281,22.8,412,64.5,208,10.0,701,30.5,490.0,4.5,701.0,82.0,290.0,35.8,354,66.8,234.0,31.5
367,368.0,382.0,Mahidol University,Thailand,Asia,L,FC,VH,A,44.1,192,21.8,424,81.1,126,4.7,701,4.9,701.0,4.2,701.0,57.2,659.0,9.8,701,57.7,276.0,31.4
368,368.0,498.0,University of Jordan,Jordan,Asia,XL,FC,HI,A,32.9,268,46.7,197,19.5,685,3.5,701,21.2,585.0,43.5,331.0,67.0,521.0,82.1,110,39.5,371.0,31.4
369,368.0,360.0,University of Tehran,"Iran, Islamic Republic of",Asia,XL,CO,VH,A,20.6,429,26.8,357,3.0,701,79.1,115,2.0,701.0,2.0,701.0,86.2,231.0,23.1,494,4.7,701.0,31.4
370,371.0,340.0,George Washington University,United States,Americas,L,FC,VH,B,25.2,351,28.8,331,27.3,555,27.5,471,24.6,542.0,34.4,394.0,79.5,333.0,74.5,142,27.3,468.0,31.3
371,371.0,362.0,Lincoln University ,New Zealand,Oceania,S,CO,VH,A,8.2,601,5.0,601,31.8,496,52.1,249,100.0,61.0,96.3,88.0,20.2,701.0,40.0,320,48.9,324.0,31.3
372,371.0,354.0,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,Europe,L,CO,VH,A,31.8,277,27.7,347,38.9,404,16.7,609,10.1,701.0,19.8,544.0,85.3,242.0,26.3,450,82.5,143.0,31.3
373,371.0,364.0,University of Turin,Italy,Europe,XL,FC,VH,A,41.5,205,7.2,601,3.2,701,33.3,398,4.1,701.0,5.3,701.0,87.5,204.0,51.7,245,83.6,132.0,31.3
374,375.0,358.0,University of Florence,Italy,Europe,XL,FC,VH,A,34.6,255,8.4,601,4.4,701,46.6,295,7.3,701.0,12.3,671.0,88.5,189.0,30.3,415,74.5,193.0,31.2
375,375.0,315.0,University of Turku,Finland,Europe,L,FC,VH,A,27.8,317,12.1,601,52.3,291,29.3,442,33.2,477.0,4.4,701.0,86.3,229.0,39.9,321,52.5,302.0,31.2
376,377.0,384.0,Nankai University,China (Mainland),Asia,XL,FC,VH,A,18.5,492,9.8,601,25.4,584,82.9,101,12.3,701.0,2.7,701.0,51.1,701.0,37.9,340,11.5,632.0,31.1
377,377.0,347.0,Pontificia Universidad Javeriana,Colombia,Americas,L,FC,HI,B,45.3,184,56.6,145,26.3,568,1.6,701,3.4,701.0,2.5,701.0,42.2,701.0,78.3,127,11.3,636.0,31.1
378,377.0,355.0,University of Tsukuba,Japan,Asia,L,FC,VH,A,36.6,237,22.5,416,54.7,278,17.3,594,12.4,701.0,19.3,561.0,66.9,525.0,9.8,701,63.4,249.0,31.1
380,380.0,336.0,University of Kent,United Kingdom,Europe,L,CO,VH,A,15.4,571,10.0,601,14.6,701,45.7,301,95.1,147.0,49.8,296.0,78.8,339.0,34.0,372,40.4,363.0,30.8
381,382.0,349.0,University of Pisa,Italy,Europe,L,FC,VH,A,40.4,212,15.1,556,8.6,701,38.8,359,5.9,701.0,4.2,701.0,88.3,193.0,15.0,665,56.7,281.0,30.7
382,383.0,427.0,Anna University,India,Asia,L,SP,VH,A,10.0,601,12.0,601,5.5,701,100.0,2,30.62604242867593,530.4498902706657,1.3,701.0,89.2,181.0,5.9,701,24.7,491.0,30.6
383,384.0,375.0, Western Sydney University,Australia,Oceania,XL,FC,VH,A,19.9,445,14.2,579,4.8,701,31.0,425,100.0,53.0,45.5,323.0,87.4,208.0,8.9,701,89.2,101.0,30.5
384,385.0,392.0,South China University of Technology,China (Mainland),Asia,XL,CO,VH,A,12.1,601,6.6,601,20.0,673,97.8,36,10.7,701.0,4.6,701.0,51.3,701.0,27.3,439,7.3,701.0,30.4
385,385.0,387.0,Universiti Brunei Darussalam (UBD),Brunei,Asia,S,CO,VH,A,20.2,438,8.8,601,92.9,73,9.9,701,100.0,62.0,46.5,318.0,35.4,701.0,56.5,217,12.7,615.0,30.4
386,387.0,387.0,Belarusian State University,Belarus,Europe,L,CO,HI,A,28.4,308,40.7,230,93.0,72,1.3,701,3.8,701.0,59.3,250.0,36.4,701.0,38.2,338,1.0,701.0,30.3
387,388.0,400.0,Universidade Nova de Lisboa,Portugal,Europe,L,FC,VH,A,28.7,305,21.8,425,15.9,701,23.9,509,25.3,528.0,57.0,260.0,86.3,227.0,48.7,264,38.2,384.0,30.2
388,389.0,595.0,Università Vita-Salute San Raffaele,Italy,Europe,S,SP,VH,B,3.3,601,1.8,601,94.4,66,88.5,80,4.4,701.0,4.3,701.0,39.2,701.0,2.1,701,1.2,701.0,30.1
389,389.0,368.0,University of Cyprus (UCY),Cyprus,Asia,M,CO,VH,A,10.0,601,4.7,601,4.5,701,75.0,135,93.8,162.0,20.0,541.0,73.4,429.0,42.1,308,5.8,701.0,30.1
390,389.0,302.0,Virginia Polytechnic Institute and State University,United States,Americas,XL,FC,VH,A,26.4,336,26.2,364,18.9,701,28.4,459,71.8,277.0,16.5,594.0,82.6,282.0,24.0,471,34.8,406.0,30.1
391,392.0,387.0,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,M,FO,VH,A,27.6,320,37.9,248,43.5,358,29.4,439,19.7,603.0,25.5,471.0,29.8,701.0,19.9,563,38.8,379.0,30.0
392,393.0,444.0,National and Kapodistrian University of Athens,Greece,Europe,XL,FC,VH,A,26.7,329,33.2,283,2.1,701,31.0,426,9.9,701.0,15.9,609.0,86.6,222.0,85.8,96,29.3,451.0,29.9
393,393.0,332.0,"University of California, Santa Cruz",United States,Americas,L,CO,VH,A,17.7,512,5.9,601,7.4,701,65.3,170,53.4,348.0,7.0,701.0,64.5,566.0,6.1,701,83.6,132.0,29.9
394,393.0,489.0,"University of Rome ""Tor Vergata""",Italy,Europe,L,CO,VH,A,31.3,285,15.4,547,9.0,701,47.2,287,9.6,701.0,30.8,422.0,69.1,495.0,6.3,701,57.7,276.0,29.9
395,396.0,375.0,Northeastern University,United States,Americas,XL,CO,VH,B,19.2,470,11.8,601,15.4,701,24.6,501,51.6,360.0,96.4,85.0,67.3,516.0,44.0,291,72.3,205.0,29.7
396,396.0,375.0,Ruhr-Universität Bochum,Germany,Europe,XL,FC,VH,A,20.3,437,8.8,601,2.5,701,53.4,240,48.8,371.0,39.3,358.0,87.3,209.0,16.2,632,53.5,295.0,29.7
397,396.0,436.0,Sejong University ,South Korea,Asia,L,CO,VH,B,10.8,601,16.1,528,11.9,701,76.9,127,23.8,551.0,31.2,418.0,64.1,570.0,1.8,701,45.9,336.0,29.7
398,396.0,421.0,Université de Liège,Belgium,Europe,L,FC,VH,A,17.0,531,11.8,601,9.6,701,38.0,365,50.3,364.0,53.0,277.0,94.6,86.0,23.6,478,81.2,148.0,29.7
399,396.0,410.0,University of Southern Queensland ,Australia,Oceania,M,CO,VH,A,8.8,601,5.7,601,4.8,701,73.1,143,84.1,223.0,23.0,503.0,81.0,310.0,8.6,701,43.0,353.0,29.7
400,401.0,396.0,Kazan (Volga region) Federal University,Russia,Europe,L,FC,VH,A,23.6,373,11.4,601,95.6,58,2.4,701,10.2,701.0,95.7,93.0,88.3,191.0,15.4,647,22.2,513.0,29.6
401,401.0,431.0,Koç University,Turkey,Asia,M,FC,VH,B,24.3,359,54.6,155,19.1,697,32.4,407,24.7,540.0,13.0,659.0,51.6,701.0,6.8,701,34.8,406.0,29.6
402,403.0,375.0,Amirkabir University of Technology,"Iran, Islamic Republic of",Asia,M,FO,VH,A,5.2,601,20.5,445,4.6,701,100.0,7,24.6,543.0,2.8,701.0,70.2,483.0,5.8,701,1.6,701.0,29.5
403,403.0,421.0,University of Canberra ,Australia,Oceania,M,CO,VH,A,14.3,601,7.7,601,2.4,701,51.2,255,79.6,243.0,69.4,213.0,63.1,583.0,5.6,701,70.9,217.0,29.5
404,405.0,392.0,Institut National des Sciences Appliquées de Lyon (INSA),France,Europe,M,FO,VH,A,7.4,601,28.7,334,33.7,469,60.6,201,29.2,500.0,58.3,254.0,59.5,638.0,14.4,680,2.4,701.0,29.3
405,405.0,481.0,Satbayev University,Kazakhstan,Asia,M,FO,VH,A,27.8,318,43.4,211,88.1,94,1.2,701,66.7,296.0,16.9,588.0,15.0,701.0,23.6,477,3.8,701.0,29.3
406,405.0,328.0,USI - Università della Svizzera italiana,Switzerland,Europe,S,FO,VH,A,6.1,601,4.6,601,73.5,176,40.7,343,100.0,34.0,100.0,13.0,39.3,701.0,2.1,701,1.1,701.0,29.3
407,408.0,374.0,"Birkbeck, University of London",United Kingdom,Europe,M,CO,VH,A,10.0,601,3.6,601,15.6,701,57.1,218,97.7,123.0,99.5,46.0,55.5,686.0,8.8,701,7.7,701.0,29.1
408,408.0,400.0,Masaryk University,Czech Republic,Europe,XL,CO,VH,A,23.5,376,31.7,298,9.5,701,13.8,656,27.6,513.0,66.7,223.0,80.2,318.0,36.0,352,79.1,161.0,29.1
409,410.0,399.0,HSE University,Russia,Europe,XL,CO,VH,A,24.0,366,38.4,246,84.8,105,1.8,701,6.6,701.0,13.5,652.0,83.6,271.0,13.0,701,44.6,343.0,29.0
410,410.0,415.0,The American University in Cairo,Egypt,Africa,M,CO,VH,B,32.1,274,31.1,301,35.5,444,5.2,701,97.0,130.0,3.8,701.0,29.4,701.0,75.6,138,14.6,597.0,29.0
411,412.0,407.0,Auckland University of Technology (AUT),New Zealand,Oceania,L,CO,VH,A,19.3,464,11.2,601,10.6,701,21.7,536,100.0,64.0,99.8,42.0,52.6,701.0,12.4,701,72.6,202.0,28.9
